feature,importance,normalized_importance
goal16_rolling_mean_3,0.5034814,0.50348145
goal16_lag_2,0.3751213,0.37512133
n_sdg16_u5reg,0.019548198,0.0195482
n_sdg16_clabor,0.019078106,0.019078108
n_sdg16_exprop,0.009357973,0.009357974
n_sdg16_homicides,0.009103763,0.009103764
n_sdg16_admin_lag_1,0.008594518,0.0085945185
delta_n_sdg16_crimepov,0.0071560056,0.007156006
delta_n_sdg16_admin,0.0052625895,0.00526259
n_sdg16_crime,0.0043192497,0.00431925
delta_n_sdg16_clabor,0.0037846616,0.0037846619
n_sdg16_safe,0.0036141288,0.003614129
n_sdg16_weaponsexp,0.0034423617,0.003442362
goal16_lag_1,0.0029504418,0.002950442
n_sdg16_detain,0.0025203389,0.002520339
n_sdg16_clabor_lag_1,0.00237607,0.0023760702
delta_n_sdg16_crime,0.002316766,0.0023167662
n_sdg16_rsf,0.0021973252,0.0021973255
n_sdg16_crimepov_lag_1,0.0020881682,0.0020881684
n_sdg16_cpi,0.0020278688,0.002027869
n_sdg16_admin,0.0018766256,0.0018766257
n_sdg16_justice,0.001802747,0.0018027471
n_sdg16_cpi_lag_1,0.0014989205,0.0014989206
n_sdg16_power,0.0012223136,0.0012223137
n_sdg16_crimepov,0.001028731,0.0010287311
delta_n_sdg16_cpi,0.0010060907,0.0010060908
n_sdg16_prs,0.00096633524,0.0009663353
n_sdg16_homicide,0.0008344594,0.00083445944
n_sdg16_security,0.00081394025,0.0008139403
n_sdg16_crime_lag_1,0.00060854683,0.0006085469
