year,scenario,indicator,change,baseline_score,intervention_score,score_delta
2025,pessimistic,n_sdg16_homicides,+1%,59.65161666001238,60.41838634781371,0.7667696878013288
2026,pessimistic,n_sdg16_homicides,+1%,59.72771592422438,60.494164359471505,0.7664484352471277
2027,pessimistic,n_sdg16_homicides,+1%,59.76797987096808,60.534107053661,0.7661271826929266
2028,pessimistic,n_sdg16_homicides,+1%,59.78739775128517,60.553203681423895,0.7658059301387254
2029,pessimistic,n_sdg16_homicides,+1%,59.79468908951566,60.56017376710021,0.7654846775845527
2030,pessimistic,n_sdg16_homicides,+1%,59.79492619410961,60.56008961913996,0.7651634250303516
2025,pessimistic,n_sdg16_detain,+1%,59.65161666001238,59.480055349725006,-0.1715613102873732
2026,pessimistic,n_sdg16_detain,+1%,59.72771592422438,59.556330635510335,-0.1713852887140419
2027,pessimistic,n_sdg16_detain,+1%,59.76797987096808,59.59677060382737,-0.1712092671407035
2028,pessimistic,n_sdg16_detain,+1%,59.78739775128517,59.6163645057178,-0.1710332455673722
2029,pessimistic,n_sdg16_detain,+1%,59.79468908951566,59.62383186552162,-0.1708572239940338
2030,pessimistic,n_sdg16_detain,+1%,59.79492619410961,59.62424499168891,-0.1706812024206954
2025,pessimistic,n_sdg16_cpi,+1%,59.65161666001238,59.6549726563637,0.0033559963513170032
2026,pessimistic,n_sdg16_cpi,+1%,59.72771592422438,59.7311214169516,0.0034054927272251234
2027,pessimistic,n_sdg16_cpi,+1%,59.76797987096808,59.77143486007121,0.0034549891031332436
2028,pessimistic,n_sdg16_cpi,+1%,59.78739775128517,59.79090223676421,0.0035044854790413638
2029,pessimistic,n_sdg16_cpi,+1%,59.79468908951566,59.798243071370614,0.0035539818549565894
2030,pessimistic,n_sdg16_cpi,+1%,59.79492619410961,59.798529672340464,0.003603478230857604
2025,base,n_sdg16_homicides,+1%,62.80195546982956,63.60908145698884,0.8071259871592815
2026,base,n_sdg16_homicides,+1%,62.8775508676997,63.68433869427563,0.8067878265759276
2027,base,n_sdg16_homicides,+1%,62.91731094810157,63.72376061409413,0.8064496659925595
2028,base,n_sdg16_homicides,+1%,62.9362249620768,63.742336467486005,0.8061115054092056
2029,base,n_sdg16_homicides,+1%,62.94301243396549,63.74878577879133,0.8057733448258375
2030,base,n_sdg16_homicides,+1%,62.942745672217576,63.74818085646006,0.8054351842424836
2025,base,n_sdg16_detain,+1%,62.80195546982956,62.621364616895484,-0.18059085293407406
2026,base,n_sdg16_detain,+1%,62.8775508676997,62.69714530063229,-0.1804055670674103
2027,base,n_sdg16_detain,+1%,62.91731094810157,62.73709066690084,-0.1802202812007323
2028,base,n_sdg16_detain,+1%,62.9362249620768,62.75618996674273,-0.18003499533406853
2029,base,n_sdg16_detain,+1%,62.94301243396549,62.763162724498095,-0.17984970946739764
2030,base,n_sdg16_detain,+1%,62.942745672217576,62.76308124861684,-0.17966442360073387
2025,base,n_sdg16_cpi,+1%,62.80195546982956,62.80548809756779,0.0035326277382310423
2026,base,n_sdg16_cpi,+1%,62.8775508676997,62.88113559688626,0.003584729186556501
2027,base,n_sdg16_cpi,+1%,62.91731094810157,62.920947778736455,0.00363683063488196
2028,base,n_sdg16_cpi,+1%,62.9362249620768,62.93991389416001,0.003688932083207419
2029,base,n_sdg16_cpi,+1%,62.94301243396549,62.94675346749702,0.0037410335315257726
2030,base,n_sdg16_cpi,+1%,62.942745672217576,62.946538807197435,0.003793134979858337
2025,optimistic,n_sdg16_homicides,+1%,65.95229427964674,66.79977656616398,0.8474822865172484
2026,optimistic,n_sdg16_homicides,+1%,66.02738581117504,66.87451302907976,0.8471272179047276
2027,optimistic,n_sdg16_homicides,+1%,66.06664202523507,66.91341417452726,0.8467721492921925
2028,optimistic,n_sdg16_homicides,+1%,66.08505217286846,66.93146925354813,0.8464170806796716
2029,optimistic,n_sdg16_homicides,+1%,66.09133577841531,66.93739779048244,0.8460620120671223
2030,optimistic,n_sdg16_homicides,+1%,66.09056515032556,66.93627209378016,0.8457069434546014
2025,optimistic,n_sdg16_detain,+1%,65.95229427964674,65.76267388406595,-0.18962039558078914
2026,optimistic,n_sdg16_detain,+1%,66.02738581117504,65.83795996575427,-0.18942584542077157
2027,optimistic,n_sdg16_detain,+1%,66.06664202523507,65.87741072997429,-0.18923129526078242
2028,optimistic,n_sdg16_detain,+1%,66.08505217286846,65.89601542776768,-0.18903674510077906
2029,optimistic,n_sdg16_detain,+1%,66.09133577841531,65.90249358347454,-0.1888421949407757
2030,optimistic,n_sdg16_detain,+1%,66.09056515032556,65.90191750554479,-0.18864764478077234
2025,optimistic,n_sdg16_cpi,+1%,65.95229427964674,65.95600353877188,0.0037092591251450813
2026,optimistic,n_sdg16_cpi,+1%,66.02738581117504,66.03114977682093,0.003763965645887879
2027,optimistic,n_sdg16_cpi,+1%,66.06664202523507,66.0704606974017,0.0038186721666306767
2028,optimistic,n_sdg16_cpi,+1%,66.08505217286846,66.08892555155583,0.0038733786873734743
2029,optimistic,n_sdg16_cpi,+1%,66.09133577841531,66.09526386362343,0.003928085208116272
2030,optimistic,n_sdg16_cpi,+1%,66.09056515032556,66.0945479420544,0.003982791728844859
